"RUBRO","SUBRUBRO","MARCA","Rubro","Subrubro",,"Orden","Codigo","Nombre","Precio","Unidad por bulto fact.","Texto",
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO T 500          ","ACINDAR",1,1752,"1.1752",14,1864,"BARRA HIERRO TORSIONADO 4.2 MM                    ","10.42","1.3","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO T 500          ","ACINDAR",1,1752,"1.1752",15,163,"BARRA HIERRO TORSIONADO T 500 4 MM                ","9.45","1.18","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO T 500          ","ACINDAR",1,1752,"1.1752",38,161,"KG HIERRO TORSIONADO T 500 4 MM-4.2 MM            ","8.01",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 6-8-10   ","ACINDAR",1,1474,"1.1474",1,1865,"BARRA HIERRO TORSIONADO DN  6 MM                  ","22.41","2.8","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 6-8-10   ","ACINDAR",1,1474,"1.1474",2,1866,"BARRA HIERRO TORSIONADO DN  8 MM                  ","37.28","4.75","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 6-8-10   ","ACINDAR",1,1474,"1.1474",4,1867,"BARRA HIERRO TORSIONADO DN 10 MM                  ","58.86","7.5","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 6-8-10   ","ACINDAR",1,1474,"1.1474",5,7223,"BARRA HO TORS DN  8 MM(10 TROZOS 1.10)P/ELECTRICO ","50.34","4.75","KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 6-8-10   ","ACINDAR",1,1474,"1.1474",6,7224,"BARRA HO TORS DN  8 MM(10 TROZOS 1.20)P/ELECTRICO ","50.34","4.75","KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 6-8-10   ","ACINDAR",1,1474,"1.1474",7,7225,"BARRA HO TORS DN 10 MM(10 TROZOS 1.10)P/ELECTRICO ","80.54","7.6","KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 6-8-10   ","ACINDAR",1,1474,"1.1474",8,7226,"BARRA HO TORS DN 10 MM(10 TROZOS 1.20)P/ELECTRICO ","80.54","7.6","KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 6-8-10   ","ACINDAR",1,1474,"1.1474",9,1850,"KG HIERRO TORSIONADO DN  6 MM                     ",8,0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 6-8-10   ","ACINDAR",1,1474,"1.1474",10,1851,"KG HIERRO TORSIONADO DN  8 MM                     ","7.85",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 6-8-10   ","ACINDAR",1,1474,"1.1474",11,1852,"KG HIERRO TORSIONADO DN 10 MM                     ","7.85",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 12-16-20-","ACINDAR",1,1943,"1.1943",1,1868,"BARRA HIERRO TORSIONADO DN 12 MM                  ","98.37","10.82","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 12-16-20-","ACINDAR",1,1943,"1.1943",2,1869,"BARRA HIERRO TORSIONADO DN 16 MM                  ","178.21","19.8","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 12-16-20-","ACINDAR",1,1943,"1.1943",3,1870,"BARRA HIERRO TORSIONADO DN 20 MM                  ","279.91","31.1","UNI",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 12-16-20-","ACINDAR",1,1943,"1.1943",4,1871,"BARRA HIERRO TORSIONADO DN 25 MM                  ","415.82","46.2","KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 12-16-20-","ACINDAR",1,1943,"1.1943",5,25341,"BARRA HIERRO TORSIONADO DN 32 MM                  ","748.35","74.76","KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 12-16-20-","ACINDAR",1,1943,"1.1943",6,1853,"KG HIERRO TORSIONADO DN 12 MM                     ","9.09",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 12-16-20-","ACINDAR",1,1943,"1.1943",7,1854,"KG HIERRO TORSIONADO DN 16 MM                     ",9,0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 12-16-20-","ACINDAR",1,1943,"1.1943",8,1855,"KG HIERRO TORSIONADO DN 20 MM                     ",9,0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 12-16-20-","ACINDAR",1,1943,"1.1943",9,1856,"KG HIERRO TORSIONADO DN 25 MM                     ",9,0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HIERRO TORS. 12-16-20-","ACINDAR",1,1943,"1.1943",10,25342,"KG HIERRO TORSIONADO DN 32 MM                     ","10.01",0,"KGR",1
"METALURGIA, ACINDAR           ","ACINDAR-HO LISO EN BARRA 6,8,1","ACINDAR",1,2027,"1.2027",1,21572,"BARRA HIERRO LISO  6 MM ( **6 MTS**)              ","13.36","1.37","UNI",1
