RUBRO,SUBRUBRO,MARCA,Rubro,Subrubro,,Orden,Codigo,Nombre,Precio,Unidad por bulto fact.,Texto,
MATERIALES GRUESOS            ,AVELLANEDA-CEMENTO            ,AVELLANEDA,17,219,17.0219,80,2990,CEMENTO                                           ,55.54,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-CEMENTO FRACCIONADO,AVELLANEDA,17,1427,17.1427,10,7179,CEMENTO X  5 KGS                                  ,7.49,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-CEMENTO FRACCIONADO,AVELLANEDA,17,1427,17.1427,20,7180,CEMENTO X 10 KGS                                  ,14.98,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-RETIRO EN FABRICA  ,AVELLANEDA,17,414,17.0414,1,2506,CEMENTO-EN OLAVARRIA                              ,42.64,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-RETIRO EN FABRICA  ,AVELLANEDA,17,414,17.0414,2,25314,CAL HIDRAT 30 KGS. 'EXTRA' EN OLAVARRIA           ,18.01,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-RETIRO EN FABRICA  ,AVELLANEDA,17,414,17.0414,5,23371,CAL HIDRAT EXTRA X 25 KGS EN OLAVARRIA            ,15.8,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-RETIRO EN FABRICA  ,AVELLANEDA,17,414,17.0414,6,2508,HIDRALIT-EN OLAVARRIA                             ,24.29,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-CAL HIDRAT EXTRA   ,AVELLANEDA,17,1804,17.1804,1,23372,CAL HIDRAT 25 KGS 'EXTRA'                         ,19.63,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-CAL HIDRAT EXTRA   ,AVELLANEDA,17,1804,17.1804,3,25313,CAL HIDRAT 30 KGS. 'EXTRA'                        ,22.38,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-HIDRALIT           ,AVELLANEDA,17,656,17.0656,10,2991,HIDRALIT (40 KGS)                                 ,27.32,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-PEGAMENTO S.CODIMAT,AVELLANEDA,17,905,17.0905,1,21587,PEGAMENTO IMPERMEABLE SHOPPING CODIMAT X  5 KGS   ,11.49,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-PEGAMENTO S.CODIMAT,AVELLANEDA,17,905,17.0905,2,13499,PEGAMENTO IMPERMEABLE SHOPPING CODIMAT X 30 KGS   ,53.77,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-PEGAMENTO PERFECTO ,AVELLANEDA,17,2251,17.2251,1,25777,PEGAMENTO PERFECTO PORCELLANATO X 30 KG           ,125.2,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-PEGAMENTO PERFECTO ,AVELLANEDA,17,387,17.0387,10,847,PERFECTO EXTRA X 30 KGS                           ,67.6,1,UNI,1
MATERIALES GRUESOS            ,AVELLANEDA-TARIMA             ,AVELLANEDA,17,1466,17.1466,10,4805,TARIMA BOLSAS                                     ,135.28,1,UNI,1
MATERIALES GRUESOS            ,SGAMINI-BOLSON ARENA/C.RODA   ,SGAMINI,17,1390,17139,1,25593,BOLSON BINDER                                     ,630.26,1,UNI,1
MATERIALES GRUESOS            ,SGAMINI-BOLSON ARENA/C.RODA   ,SGAMINI,17,1390,17139,2,1269,BOLSON CANTO RODADO                               ,548.87,1,UNI,1
MATERIALES GRUESOS            ,SGAMINI-BOLSON ARENA/C.RODA   ,SGAMINI,17,1390,17139,3,20167,BOLSON CANTO RODADO X 1/2 M3                      ,353.53,1,UNI,1
MATERIALES GRUESOS            ,SGAMINI-BOLSON ARENA/C.RODA   ,SGAMINI,17,1390,17139,4,1301,BOLSON ARENA ESPECIAL                             ,303,1,UNI,1
MATERIALES GRUESOS            ,SGAMINI-ARENA/C.ROD./ESCOMB   ,SGAMINI,17,794,17.0794,15,11110,ARENA GRUESA   (1 M3)                             ,234.3,1,UNI,1
MATERIALES GRUESOS            ,SGAMINI-ARENA/C.ROD./ESCOMB   ,SGAMINI,17,794,17.0794,25,11111,ARENA ESPECIAL (1 Y 2 M3)                         ,171.82,1,UNI,1
MATERIALES GRUESOS            ,SGAMINI-ARENA/C.ROD./ESCOMB   ,SGAMINI,17,794,17.0794,30,2992,ARENA ESPECIAL (MIN 3 M3)                         ,151.51,1,MT3,1
MATERIALES GRUESOS            ,SGAMINI-ARENA/C.ROD./ESCOMB   ,SGAMINI,17,794,17.0794,40,535,BOLSA ARENA X 20 KGS                              ,6.4,1,UNI,1
MATERIALES GRUESOS            ,SGAMINI-ARENA/C.ROD./ESCOMB   ,SGAMINI,17,794,17.0794,45,14301,BOLSON ARENA X 1/2 M3                             ,180.53,1,MT3,1
MATERIALES GRUESOS            ,SGAMINI-ARENA/C.ROD./ESCOMB   ,SGAMINI,17,794,17.0794,70,2989,CANTO RODADO   (MIN 1 M3)                         ,312.4,1,MT3,1
MATERIALES GRUESOS            ,SGAMINI-ARENA/C.ROD./ESCOMB   ,SGAMINI,17,794,17.0794,80,13932,CANTO RODADO   (MIN 3 M3)                         ,312.4,1,MT3,1
MATERIALES GRUESOS            ,SGAMINI-ARENA/C.ROD./ESCOMB   ,SGAMINI,17,794,17.0794,120,536,BOLSA CANTO RODADO X 20 KGS                       ,10.31,1,UNI,1
MATERIALES GRUESOS            ,PIRO Y RUIZ-PIEDRA PARTIDA    ,PIRO Y RUIZ,17,2199,17.2199,1,24989,BOLSON PIEDRA PARTIDA 1/3 P/HORMIGON GRUESO       ,406.49,1,UNI,1
MATERIALES GRUESOS            ,PIRO Y RUIZ-PIEDRA PARTIDA    ,PIRO Y RUIZ,17,2199,17.2199,2,24988,BOLSON PIEDRA PARTIDA 6/20 P/HORMIGON FINO        ,432.87,1,UNI,1
MATERIALES GRUESOS            ,PIRO Y RUIZ-PIEDRA PARTIDA    ,PIRO Y RUIZ,17,2199,17.2199,3,26781,BOLSON PIEDRA PARTIDA 3/9 BINDER FINO             ,466.84,1,UNI,1
MATERIALES GRUESOS            ,PIRO Y RUIZ-PIEDRA PARTIDA    ,PIRO Y RUIZ,17,2199,17.2199,4,26780,BOLSON PIEDRA PARTIDA 6/12 BINDER GRUESO          ,461.18,1,UNI,1
MATERIALES GRUESOS            ,AGROMARC  -BOLSON ARENA       ,AGROMARC,17,1718,17.1718,1,21400,DEVOLUCION BOLSON VACIO DE ARENA/PIEDRA           ,15.23,1,UNI,1
MATERIALES GRUESOS            ,CEFAS     -CAL MILAGRO        ,CEFAS,17,732,17.0732,10,10876,CAL MILAGRO X 25 KGS                              ,49.54,1,UNI,1
MATERIALES GRUESOS            ,CEFAS     -CALHIDRATADA       ,CEFAS,17,1924,17.1924,1,23138,CAL HIDRAULICA FEITIS X 25 KG                     ,18.04,1,UNI,1
MATERIALES GRUESOS            ,MEGAFLEX - PLASTIF. CONCENTRAD,MEGAFLEX,17,1987,17.1987,2,23725,STOPKAL X   1 LT                                  ,556.55,1,UNI,1
MATERIALES GRUESOS            ,FGH       -CAL SUPER          ,FGH,17,526,17.0526,2,23152,CAL VIVA MOLIDA FGH ETIQUETA VERDE X 25 KG        ,55.09,1,UNI,1
MATERIALES GRUESOS            ,FGH       -CAL SUPER          ,FGH,17,526,17.0526,4,23151,CAL VIVA TRITURADA X 25 KG - LA BUENA ESPERANZA   ,46.42,1,UNI,1
MATERIALES GRUESOS            ,CORRAL    -YESO               ,CORRAL,17,362,17.0362,10,2983,YESO CORRAL X 40 KGS                              ,57.49,1,UNI,1
MATERIALES GRUESOS            ,YEMACO    -YESO               ,YEMACO,17,361,17.0361,1,10599,BOLSA YESO X 1 KG                                 ,3.01,1,UNI,1
MATERIALES GRUESOS            ,YEMACO    -YESO               ,YEMACO,17,361,17.0361,2,4363,BOLSA YESO X 5 KGS                                ,13.59,1,UNI,1
MATERIALES GRUESOS            ,YEMACO    -YESO               ,YEMACO,17,361,17.0361,3,2984,YESO YEMACO X 40 KGS                              ,67.02,1,UNI,1
MATERIALES GRUESOS            ,DURLOCK   -YESO               ,DURLOCK,17,1983,17.1983,1,23673,YESO ALPRESS X 35 KG                              ,75.91,1,UNI,1
MATERIALES GRUESOS            ,FINOTEIX  -REVESTIMIENTO      ,FINOTEIX,17,1232,17.1232,1,18567,FINOTEIX X 25 KGS (REV.FINO) INT                  ,29.01,1,UNI,1
MATERIALES GRUESOS            ,FINOTEIX  -REVESTIMIENTO      ,FINOTEIX,17,1232,17.1232,2,24142,FINOTEIX X 25 KGS (REV.FINO) EXT                  ,29.01,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -CEMENTO BLANCO     ,IGGAM,17,154,17.0154,10,860,CEMENTO BLANCO X  1 KG                            ,7.17,1,UNI,1
MATERIALES GRUESOS            ,IGGAM     -CEMENTO BLANCO     ,IGGAM,17,154,17.0154,20,861,CEMENTO BLANCO X  5 KGS                           ,31.39,1,UNI,1
